11 9064 37485
0 150 0.126606 0.037142
1 150 0.249809 0.0388542
0 151 0.0794673 0.0382122
1 151 0.19967 0.0465591
0 152 0.158746 0.0382122
1 152 0.28302 0.037142
0 153 0.203741 0.0392823
1 153 0.321588 0.0328616
0 154 0.212312 0.0392823
1 154 0.329087 0.0328616
0 155 0.172673 0.0414225
1 155 0.295876 0.0382122
0 156 0.181244 0.0414225
1 156 0.303375 0.037142
0 157 0.0837527 0.0424927
1 157 0.206098 0.0504116
0 158 0.215526 0.0424927
1 158 0.33123 0.0350018
0 159 0.0623261 0.0435628
1 159 0.183386 0.0553341
0 160 0.0655401 0.0435628
1 160 0.185529 0.054264
0 161 0.173744 0.0446329
1 161 0.298018 0.0414225
0 162 0.17053 0.045703
1 162 0.294804 0.0424927
0 163 0.0794673 0.0467731
1 163 0.20267 0.0553341
0 164 0.187672 0.0467731
1 164 0.308732 0.0414225
0 165 0.0644687 0.0489134
1 165 0.185529 0.0606847
0 166 0.163031 0.0489134
1 166 0.288376 0.0467731
0 167 0.23481 0.0489134
1 167 0.346228 0.0392823
0 168 0.134105 0.0499835
1 168 0.261593 0.0489134
0 169 0.143747 0.0499835
1 169 0.270164 0.0499835
0 170 0.1941 0.0521237
1 170 0.314088 0.0467731
0 171 0.0730394 0.054264
1 171 0.195171 0.062825
0 172 0.0826813 0.054264
1 172 0.205884 0.0617548
0 173 0.0633974 0.0553341
1 173 0.183386 0.0660353
0 174 0.214455 0.0553341
1 174 0.332301 0.0467731
0 175 0.231596 0.0564042
1 175 0.345157 0.0467731
0 176 0.0633974 0.0574744
1 176 0.189814 0.0681756
0 177 0.0837527 0.0574744
1 177 0.208027 0.0638951
0 178 0.1866 0.0574744
1 178 0.309803 0.0510536
0 178 0.188743 0.0574744
0 179 0.0666114 0.0585445
1 179 0.1866 0.0681756
0 176 0.0687541 0.0585445
0 180 0.181244 0.0596146
1 180 0.303375 0.0553341
0 181 0.0826813 0.0617548
1 181 0.208027 0.0692457
0 182 0.12232 0.0617548
1 182 0.248737 0.0638951
0 183 0.137319 0.0617548
1 183 0.262665 0.0619689
0 184 0.1866 0.062825
1 184 0.308732 0.0574744
0 185 0.0451848 0.0638951
1 185 0.158531 0.0773786
0 186 0.0923233 0.0649652
1 186 0.216597 0.0703158
0 187 0.187672 0.0660353
1 187 0.309803 0.0596146
0 188 0.195171 0.0671055
1 188 0.316231 0.0606847
0 189 0.084824 0.0681756
1 189 0.209098 0.0745963
0 190 0.088038 0.0681756
1 190 0.213383 0.0745963
0 191 0.169459 0.0692457
1 191 0.293733 0.0649652
0 192 0.185529 0.0692457
1 192 0.308732 0.062825
0 193 0.084824 0.0703158
1 193 0.205884 0.0778067
0 194 0.228382 0.0703158
1 194 0.343014 0.0596146
0 195 0.0473275 0.0713859
1 195 0.163674 0.0837994
0 196 0.136248 0.0713859
1 196 0.263736 0.0713859
0 197 -0.120871 0.0724561
